n,kabupaten,kecamatan,bundle_id,bcs,tech_dom,n_dark,n_interm,interv_type,avg_sqi,pop_2026,hh_2026,demand_kw,size_kw,capex_low_usd,capex_high_usd,capex_mid_usd,exit,capex_usd,annual_kwh,annual_om,npv_usd,irr_mean,payback_mean,lcoe_mean,tariff_avg,per_connection,tech_mix_str,co2_avoided_t,annual_gen_kwh,annualised_capex,annual_cost,socec_benefit_yr,co2_avoided_25yr
3,Kepulauan Aru,Aru Selatan,19,0.8924,solar_biomass_hybrid,0,3,retrofit,0.242,1761,488,128.8,128.9,322250,586495,454374,blended_finance,550445,1038267,12247,1548037,0.4256,3.0,0.0638,0.194,1127,solar_biomass_hybrid:3,843.072804,1038267.0,56038.74156669526,68285.74156669526,234220.09357376475,21076.8201
6,Kepulauan Aru,Aru Selatan,20,0.7531,solar_battery,0,6,retrofit,0.432,4145,1033,272.7,272.8,549625,992485,771055,blended_finance,1755171,2197825,39098,2258931,0.279,3.8,0.0928,0.177,1699,solar_battery:4; solar_biomass_hybrid:1; wind_solar_hybrid:1,1912.796861,2197825.0,178687.3785289322,217785.3785289322,747003.8483542375,47819.921525
6,Kepulauan Aru,Aru Selatan Timur,21,0.7854,wind_solar_hybrid,0,6,retrofit,0.348,3103,821,216.7,216.8,542000,1106235,824117,blended_finance,1307492,1746670,34059,1817024,0.2808,3.8,0.0924,0.1744,1592,wind_solar_hybrid:5; solar_biomass_hybrid:1,1526.700164,1746670.0,133110.8581030285,167169.8581030285,573392.6132933878,38167.504100000006
7,Kepulauan Aru,Aru Selatan Utara,22,0.8529,solar_biomass_hybrid,1,6,retrofit,0.234,4505,1314,346.9,346.9,867250,1578395,1222823,blended_finance,1482141,2795737,32977,4168444,0.4257,3.0,0.0638,0.194,1127,solar_biomass_hybrid:7,2270.138444,2795737.0,150891.21794984656,183868.21794984656,630667.9875679737,56753.4611
5,Kepulauan Aru,Aru Tengah,23,0.8142,solar_battery,2,3,retrofit,0.173,2646,788,208.0,208.1,390187,676325,533257,blended_finance,1385298,1676555,29783,1671251,0.2491,4.0,0.0988,0.1743,1757,solar_battery:5,1463.632515,1676555.0,141031.9952308765,170814.9952308765,585895.4336419064,36590.812875
5,Kepulauan Aru,Aru Tengah,24,0.7481,solar_biomass_hybrid,3,2,new_build,0.2,4356,1282,338.4,338.4,846000,1539720,1192860,blended_finance,1446047,2727716,32174,4067068,0.4257,3.0,0.0638,0.194,1127,solar_biomass_hybrid:5,2214.905392,2727716.0,147216.6231436292,179390.6231436292,615309.8373826481,55372.6348
2,Kepulauan Aru,Aru Tengah Selatan,25,0.7177,solar_battery,0,2,retrofit,0.227,1018,316,83.4,83.5,182000,350740,266370,public_good,542657,672379,12956,658537,0.2505,4.0,0.0984,0.1724,1717,solar_battery:1; wind_solar_hybrid:1,590.9191109999999,672379.0,55245.87448765663,68201.87448765663,233932.42949266225,14772.977774999998
5,Kepulauan Aru,Aru Tengah Timur,26,0.7834,solar_battery,2,3,retrofit,0.164,2478,666,175.8,175.9,329812,571675,450743,blended_finance,1170823,1416969,25172,1412466,0.2491,4.0,0.0988,0.1743,1757,solar_battery:5,1237.013937,1416969.0,119197.0996509058,144369.09965090582,495186.011802607,30925.348425
3,Kepulauan Aru,Aru Tengah Timur,27,0.7866,solar_biomass_hybrid,2,1,new_build,0.167,1835,480,126.7,126.8,317000,576940,446971,blended_finance,541421,1021261,12047,1522694,0.4257,3.0,0.0638,0.194,1127,solar_biomass_hybrid:3,829.263932,1021261.0,55120.04196201567,67167.04196201568,230382.95392971378,20731.598299999998
4,Kepulauan Aru,Aru Utara,28,0.8671,wind_solar_hybrid,0,4,retrofit,0.239,3709,1014,267.7,267.7,669250,1392040,1030645,blended_finance,1697873,2157367,44994,2073025,0.2519,4.0,0.0981,0.1705,1674,wind_solar_hybrid:4,1909.2697950000002,2157367.0,172854.08398671908,217848.08398671908,747218.9280744465,47731.744875000004
6,Kepulauan Aru,Aru Utara,29,0.6221,solar_biomass_hybrid,4,2,new_build,0.167,3223,860,227.0,227.1,517658,947691,732673,blended_finance,1269955,1829840,28648,2211282,0.3354,3.5,0.082,0.1835,1476,solar_biomass_hybrid:3; solar_battery:2; wind_solar_hybrid:1,1548.467253,1829840.0,129289.35687731286,157937.35687731288,541725.1340891832,38711.681325
7,Kepulauan Aru,Aru Utara Timur Batuley,30,0.7513,solar_battery,2,5,retrofit,0.182,4591,1287,339.8,339.8,653438,1138280,895859,blended_finance,2200163,2738354,47388,2833905,0.2743,3.9,0.0938,0.1771,1709,solar_battery:6; solar_biomass_hybrid:1,2377.732355,2738354.0,223990.3455596925,271378.3455596925,930827.7252697452,59443.308875
5,Kepulauan Aru,Pulau-Pulau Aru,31,0.7638,solar_biomass_hybrid,3,2,new_build,0.155,2458,696,183.7,183.7,443562,803205,623382,blended_finance,844914,1480879,18675,2108130,0.3904,3.2,0.0708,0.1901,1213,solar_biomass_hybrid:4; solar_battery:1,1214.803373,1480879.0,86017.52635064858,104692.52635064858,359095.3653827246,30370.084325
4,Kepulauan Aru,Sir-Sir,32,0.6924,solar_biomass_hybrid,2,2,retrofit,0.17,1970,545,143.9,143.9,344375,622765,483571,blended_finance,673331,1159558,14859,1631118,0.3816,3.2,0.0726,0.1891,1235,solar_biomass_hybrid:3; solar_battery:1,953.630129,1159558.0,68549.30446792048,83408.30446792048,286090.48432496726,23840.753225
1,Kepulauan Aru,Sir-Sir,33,1.0,solar_biomass_hybrid,1,0,new_build,0.136,695,194,51.2,51.2,128000,232960,180480,public_good,218824,412792,4869,615492,0.4257,3.0,0.0638,0.194,1127,solar_biomass_hybrid:1,335.187104,412792.0,22277.650963475957,27146.650963475957,93113.01280472253,8379.677599999999
2,Kepulauan Tanimbar,Fordata,34,0.8609,solar_biomass_hybrid,0,2,retrofit,0.5,3031,877,231.5,231.5,598651,1089545,844098,public_good,1023240,1865866,22768,2740216,0.4096,3.0,0.0661,0.194,1166,solar_biomass_hybrid:2,1515.083192,1865866.0,104172.22778062342,126940.22778062342,435404.98128753836,37877.0798
4,Kepulauan Tanimbar,Fordata,35,0.8733,solar_biomass_hybrid,0,4,retrofit,0.25,2741,837,221.0,220.9,581616,1058541,820079,blended_finance,994305,1780841,22123,2593644,0.4052,3.0,0.0668,0.194,1187,solar_biomass_hybrid:4,1446.042892,1780841.0,101226.46392186855,123349.46392186855,423088.66125200916,36151.0723
2,Kepulauan Tanimbar,Kormomolin,36,0.8516,solar_biomass_hybrid,1,1,retrofit,0.159,1996,612,161.6,161.6,410226,746611,578418,public_good,700950,1302044,15596,1928246,0.4187,3.0,0.0648,0.194,1145,solar_biomass_hybrid:2,1057.259728,1302044.0,71361.0913009929,86957.0913009929,298262.8231624057,26431.4932
3,Kepulauan Tanimbar,Molu Maru,37,0.8338,solar_biomass_hybrid,1,2,retrofit,0.242,2626,711,187.7,187.8,473149,861131,667140,blended_finance,808214,1512712,17983,2247775,0.4224,3.0,0.0642,0.194,1136,solar_biomass_hybrid:3,1228.322144,1512712.0,82281.236956617,100264.236956617,343906.3327611963,30708.0536
2,Kepulauan Tanimbar,Nirunmas,38,0.946,solar_biomass_hybrid,0,2,retrofit,0.205,5437,1577,416.3,416.3,1054626,1919421,1487023,public_good,1802513,3355287,40106,4973621,0.4196,3.0,0.0646,0.194,1143,solar_biomass_hybrid:2,2724.493044,3355287.0,183507.09004098244,223613.09004098244,766992.8988405698,68112.32609999999
3,Kepulauan Tanimbar,Selaru,39,0.9031,solar_battery,0,3,retrofit,0.303,3374,877,231.5,231.5,434063,752375,593219,blended_finance,1541759,1865947,33148,1860077,0.2491,4.0,0.0988,0.1743,1757,solar_battery:3,1628.971731,1865947.0,156960.70299326276,190108.70299326276,652072.8512668913,40724.293275
1,Kepulauan Tanimbar,Tanimbar Selatan,40,1.0,wind_solar_hybrid,0,1,retrofit,0.182,3790,1018,268.8,268.8,672000,1397760,1034880,public_good,1704571,2165910,45171,2081265,0.2519,4.0,0.0981,0.1705,1674,wind_solar_hybrid:1,1916.83035,2165910.0,173535.98225269248,218706.98225269248,750164.9491267352,47920.75875
1,Kepulauan Tanimbar,Tanimbar Selatan,41,1.0,wind_solar_hybrid,0,1,retrofit,0.318,654,160,42.2,42.2,105500,219440,162470,public_good,267909,340421,7100,327119,0.2519,4.0,0.0981,0.1705,1674,wind_solar_hybrid:1,301.272585,340421.0,27274.810770180055,34374.810770180055,117905.6009417176,7531.814625
2,Kepulauan Tanimbar,Tanimbar Utara,42,0.6609,solar_battery,0,2,retrofit,0.295,2999,941,248.4,248.4,520500,921180,720840,public_good,1445100,2002147,31350,2344934,0.3374,3.5,0.0813,0.1842,1535,solar_biomass_hybrid:1; solar_battery:1,1704.7846020000002,2002147.0,147120.21262438814,178470.21262438814,612152.8293016513,42619.61505000001
3,Kepulauan Tanimbar,Wermaktian,43,0.7253,wind_solar_hybrid,2,1,new_build,0.152,3747,988,260.8,260.8,652000,1304680,978340,blended_finance,1490396,2102162,38058,2358424,0.3098,3.7,0.0866,0.1783,1508,wind_solar_hybrid:2; solar_biomass_hybrid:1,1813.8182729999999,2102162.0,151731.62854787736,189789.62854787736,650978.4259192194,45345.456824999994
6,Kepulauan Tanimbar,Wertamrian,44,0.7867,solar_biomass_hybrid,1,5,retrofit,0.22,8481,2389,630.7,630.7,1712445,3268242,2490344,blended_finance,4056601,5082775,85476,4615379,0.3526,5.3,0.082,0.1797,1698,solar_biomass_hybrid:5; micro_hydro:1,4221.984308,5082775.0,412987.3376598889,498463.3376598889,1709729.248173419,105549.60770000001
6,Kepulauan Tanimbar,Wuar Labobar,45,0.7895,solar_biomass_hybrid,2,4,retrofit,0.152,6240,1608,424.5,424.6,1065693,1994486,1530090,blended_finance,1995796,3421210,46683,4731310,0.3945,3.2,0.0698,0.1901,1241,solar_biomass_hybrid:5; wind_solar_hybrid:1,2827.723913,3421210.0,203184.50755996356,249867.50755996356,857045.550930675,70693.09782499999
1,Kota Ambon,Nusaniwe,46,1.0,wind_solar_hybrid,0,1,retrofit,0.818,3667,1233,325.5,325.5,813750,1692600,1253175,public_good,2064573,2623350,54711,2520832,0.2519,4.0,0.0981,0.1705,1674,wind_solar_hybrid:1,2321.66475,2623350.0,210186.43605187937,264897.43605187937,908598.2056579463,58041.618749999994
2,Kota Tual,Kur Selatan,47,0.9059,solar_biomass_hybrid,2,0,new_build,0.136,1138,281,74.2,74.1,189028,344030,266530,public_good,323422,597831,7197,883410,0.4141,3.0,0.0655,0.194,1150,solar_biomass_hybrid:2,485.43877200000003,597831.0,32926.38115521753,40123.38115521753,137623.19736239614,12135.9693
5,Kota Tual,Kur Selatan,48,0.8929,solar_biomass_hybrid,0,5,retrofit,0.318,3001,778,205.4,205.3,536934,977221,757078,blended_finance,918054,1655279,20426,2418311,0.4048,3.0,0.0668,0.194,1180,solar_biomass_hybrid:5,1344.086548,1655279.0,93463.63551357693,113889.63551357693,390641.4498115689,33602.1637
3,Kota Tual,Pulau-Pulau Kur,49,0.7552,solar_biomass_hybrid,0,3,retrofit,0.409,1971,566,149.4,149.4,345836,620018,482927,blended_finance,791197,1204205,17315,1549674,0.3598,3.3,0.0773,0.1874,1397,solar_biomass_hybrid:2; solar_battery:1,1005.0693820000001,1204205.0,80548.79999154246,97863.79999154246,335672.8339709907,25126.734550000005
5,Kota Tual,Tayando Tam,50,0.7862,solar_biomass_hybrid,1,4,retrofit,0.218,8779,2389,630.7,630.7,1576750,2869685,2223218,blended_finance,2694699,5082937,59957,7578644,0.4257,3.0,0.0638,0.194,1127,solar_biomass_hybrid:5,4127.344844,5082937.0,274337.20146614494,334294.20146614494,1146629.111028877,103183.6211
3,Maluku Barat Daya,Babar Barat,51,0.9386,solar_biomass_hybrid,0,3,retrofit,0.197,1158,301,79.5,79.4,263633,479812,371722,blended_finance,450914,640465,10033,818293,0.31,3.7,0.0847,0.194,1498,solar_biomass_hybrid:3,520.05758,640465.0,45905.86364633129,55938.86364633129,191870.30230691633,13001.4395
3,Maluku Barat Daya,Babar Barat,52,0.7976,wind_solar_hybrid,0,3,retrofit,0.288,2910,823,217.3,217.3,567024,1179410,873216,blended_finance,1438363,1751023,38116,1605990,0.2408,4.0,0.1015,0.1705,1747,wind_solar_hybrid:3,1549.6553549999999,1751023.0,146434.3439146445,184550.3439146445,633007.6796272306,38741.383875
4,Maluku Barat Daya,Damer,53,0.8681,solar_biomass_hybrid,0,4,retrofit,0.227,3481,969,255.8,255.8,711455,1294848,1003152,blended_finance,1215981,2061706,27056,2923125,0.3815,3.0,0.0705,0.194,1254,solar_biomass_hybrid:4,1674.1052719999998,2061706.0,123794.46631182347,150850.46631182346,517417.0994495545,41852.631799999996
6,Maluku Barat Daya,Dawelor Dawera,54,0.8203,solar_battery,0,6,retrofit,0.273,1673,508,134.1,134.0,292571,515396,403981,blended_finance,863790,1080900,18694,1151105,0.2834,4.2,0.0931,0.1809,1700,solar_battery:4; solar_biomass_hybrid:2,926.232465,1080900.0,87939.22113543714,106633.22113543714,365751.94849454943,23155.811625000002
3,Maluku Barat Daya,Kepulauan Roma,55,0.7898,solar_biomass_hybrid,0,3,retrofit,0.333,5101,1390,367.0,366.9,1014339,1846097,1430219,blended_finance,1733823,2957324,38577,4205694,0.3777,3.0,0.0711,0.194,1247,solar_biomass_hybrid:3,2401.347088,2957324.0,176514.01869286175,215091.01869286175,737762.1941165158,60033.6772
2,Maluku Barat Daya,Mdona Hyera,56,0.8144,solar_battery,0,2,retrofit,0.409,2379,689,181.9,181.9,353253,612305,482778,public_good,1254531,1465888,26973,1408455,0.2376,4.5,0.1026,0.1743,1820,solar_battery:2,1279.7202240000001,1465888.0,127719.09726931441,154692.0972693144,530593.8936337484,31993.005600000004
3,Maluku Barat Daya,Mdona Hyera,57,0.9404,solar_biomass_hybrid,0,3,retrofit,0.515,1431,413,109.0,109.0,291982,531408,411696,blended_finance,499154,878694,11107,1269256,0.3942,3.0,0.0684,0.194,1208,solar_biomass_hybrid:3,713.499528,878694.0,50816.9971713472,61923.9971713472,212399.3102977209,17837.4882
4,Maluku Barat Daya,Mdona Hyera,58,0.8953,solar_biomass_hybrid,0,4,retrofit,0.273,1787,519,137.0,137.0,360695,656465,508580,blended_finance,616517,1104271,13717,1608321,0.4032,3.0,0.0671,0.194,1187,solar_biomass_hybrid:4,896.668052,1104271.0,62765.28415095834,76482.28415095834,262334.2346377871,22416.7013
2,Maluku Barat Daya,Moa,59,0.8898,wind_solar_hybrid,0,2,retrofit,0.386,1654,459,121.2,121.2,303000,630240,466620,public_good,768564,976533,20367,938328,0.2519,4.0,0.0981,0.1705,1674,wind_solar_hybrid:2,864.231705,976533.0,78244.61912355563,98611.61912355563,338237.85359379585,21605.792625000002
2,Maluku Barat Daya,Moa,60,0.8549,wind_solar_hybrid,0,2,retrofit,0.432,6693,1775,468.6,468.6,1171500,2436720,1804110,public_good,2972115,3776541,78761,3628980,0.2519,4.0,0.0981,0.1705,1674,wind_solar_hybrid:2,3342.238785,3776541.0,302579.8842600051,381340.8842600051,1307999.2330118176,83555.969625
5,Maluku Barat Daya,Pulau Lakor,61,0.8174,solar_battery,0,5,retrofit,0.273,3230,898,237.1,237.1,501187,947245,724216,blended_finance,1550016,1910515,36196,1878178,0.2497,4.0,0.0987,0.1735,1726,solar_battery:4; wind_solar_hybrid:1,1676.636727,1910515.0,157801.3172037946,193997.3172037946,665410.7980090155,41915.918175
11,Maluku Barat Daya,Pulau Masela,62,0.8475,solar_biomass_hybrid,0,11,retrofit,0.393,3184,994,262.4,262.4,635408,1150529,892968,blended_finance,1211826,2114735,26781,3003359,0.4075,3.1,0.0673,0.1922,1219,solar_biomass_hybrid:10; solar_battery:1,1735.074237,2114735.0,123371.4613409188,150152.4613409188,515022.94239935145,43376.855925
6,Maluku Barat Daya,Pulau Wetang,63,0.8003,solar_battery,0,6,retrofit,0.258,1871,549,144.9,144.9,290515,519269,404892,blended_finance,986034,1168099,21774,1127163,0.2391,4.0,0.102,0.1737,1796,solar_battery:5; wind_solar_hybrid:1,1021.384827,1168099.0,100384.42442382943,122158.42442382943,419003.39577373496,25534.620675
8,Maluku Barat Daya,Pulau-Pulau Babar Timur,64,0.909,wind_solar_hybrid,0,8,retrofit,0.335,4718,1350,356.4,356.5,923270,1920399,1421834,blended_finance,2341702,2872299,62057,2656907,0.2407,4.0,0.1016,0.1705,1734,wind_solar_hybrid:8,2541.984615,2872299.0,238399.90045184066,300456.90045184066,1030567.1685498136,63549.615374999994
1,Maluku Barat Daya,Wetar Barat,65,1.0,wind_solar_hybrid,0,1,retrofit,0.273,584,142,37.5,37.5,114362,237873,176118,public_good,290045,302139,7686,223952,0.1913,5.0,0.1196,0.1705,2042,wind_solar_hybrid:1,267.393015,302139.0,29528.39393165916,37214.39393165916,127645.37118559092,6684.825374999999
2,Maluku Barat Daya,Wetar Selatan,66,0.9476,solar_biomass_hybrid,0,2,retrofit,0.364,1100,296,78.1,78.2,244793,445525,345158,public_good,418061,629826,9301,835818,0.3311,3.0,0.0799,0.194,1412,solar_biomass_hybrid:2,511.418712,629826.0,42561.22289804465,51862.22289804465,177887.42454029317,12785.4678
4,Maluku Barat Daya,Wetar Timur,67,0.9098,solar_biomass_hybrid,0,4,retrofit,0.239,1662,442,116.7,116.7,338038,615230,476634,blended_finance,577649,940428,12853,1305152,0.3637,3.0,0.0737,0.194,1306,solar_biomass_hybrid:4,763.627536,940428.0,58808.27880580249,71661.27880580249,245798.18630390256,19090.6884
1,Maluku Tengah,Amahai,68,1.0,solar_battery,0,1,retrofit,0.773,2058,590,155.8,155.8,292125,506350,399238,public_good,1037216,1255301,22300,1251340,0.2491,4.0,0.0988,0.1743,1757,solar_battery:1,1095.877773,1255301.0,105595.07193787098,127895.07193787098,438680.09674689744,27396.944324999997
1,Maluku Tengah,Amahai,69,1.0,solar_biomass_hybrid,0,1,retrofit,0.182,593,151,39.9,39.9,122368,222710,172539,public_good,208943,321240,4649,431564,0.3388,3.0,0.0783,0.194,1383,solar_biomass_hybrid:1,260.84688,321240.0,21271.70340210195,25920.70340210195,88908.0126692097,6521.172
3,Maluku Tengah,Banda,70,0.7533,solar_biomass_hybrid,0,3,retrofit,0.333,2920,883,233.1,233.1,606969,1104685,855828,blended_finance,1037370,1878680,23081,2750322,0.3981,3.0,0.0679,0.194,1174,solar_biomass_hybrid:3,1525.48816,1878680.0,105610.75010045084,128691.75010045084,441412.7028445464,38137.204000000005
1,Maluku Tengah,Banda,71,1.0,solar_biomass_hybrid,0,1,retrofit,0.682,1726,537,141.8,141.8,382727,696564,539646,public_good,653946,1142553,14550,1644378,0.3912,3.0,0.0689,0.194,1217,solar_biomass_hybrid:1,927.753036,1142553.0,66575.79030161796,81125.79030161796,278261.4607345496,23193.8259
2,Maluku Tengah,Leihitu,72,0.8864,wind_solar_hybrid,0,2,retrofit,0.545,11273,3064,808.9,808.9,2479608,5157584,3818596,public_good,6290778,6519086,166705,4790610,0.1896,5.0,0.1203,0.1705,2053,wind_solar_hybrid:2,5769.3911100000005,6519086.0,640440.5210247202,807145.5210247202,2768509.1371147903,144234.77775
2,Maluku Tengah,Leihitu Barat,73,0.7937,wind_solar_hybrid,0,2,retrofit,0.273,9000,2468,651.6,651.6,1908469,3969616,2939043,public_good,4841469,5250972,128299,4145278,0.2047,5.0,0.1142,0.1705,1961,wind_solar_hybrid:2,4647.1102200000005,5250972.0,492891.80589189933,621190.8058918994,2130684.464209215,116177.75550000001
5,Maluku Tengah,Nusa Laut,74,0.884,solar_biomass_hybrid,0,5,retrofit,0.318,2606,917,242.1,242.0,656949,1195647,926299,blended_finance,1123161,1950972,24990,2799875,0.3886,3.0,0.0693,0.194,1224,solar_biomass_hybrid:5,1584.189264,1950972.0,114344.81013868963,139334.81013868965,477918.3987757055,39604.7316
1,Maluku Tengah,Nusa Laut,75,1.0,solar_biomass_hybrid,0,1,retrofit,0.545,1984,641,169.2,169.2,458591,834635,646613,public_good,783857,1363778,17441,1958729,0.3894,3.0,0.0692,0.194,1222,solar_biomass_hybrid:1,1107.387736,1363778.0,79801.54211273615,97242.54211273615,333541.919446685,27684.693399999996
4,Maluku Tengah,Pulau Haruku,76,0.7854,solar_biomass_hybrid,0,4,retrofit,0.352,5549,1802,475.7,475.8,1243282,2262771,1753027,blended_finance,2124486,3834004,47270,5603737,0.4021,3.0,0.0673,0.194,1178,solar_biomass_hybrid:4,3113.211248,3834004.0,216285.95393919855,263555.9539391985,903996.922011451,77830.2812
1,Maluku Tengah,Saparua,77,1.0,solar_biomass_hybrid,0,1,retrofit,0.318,1196,372,98.2,98.2,246468,448571,347520,public_good,421255,791494,9373,1178094,0.4238,3.0,0.064,0.194,1132,solar_biomass_hybrid:1,642.693128,791494.0,42886.39206220097,52259.39206220097,179249.71477334932,16067.3282
4,Maluku Tengah,Seram Utara,78,0.6711,solar_biomass_hybrid,0,4,retrofit,0.557,3637,1014,267.7,267.7,638443,1153467,895954,blended_finance,1271714,2157448,28035,3004648,0.3804,3.2,0.0727,0.1891,1254,solar_biomass_hybrid:3; solar_battery:1,1777.54427,2157448.0,129468.43407197503,157503.43407197503,540236.7788668744,44438.60675
